ID,Año_prod,T/C,Temporada,Capitulo,Destino,Fec_Estreno,Dia,Mes,Año,Dia_Sem,Estreno_RR,Franja,H_ini,H_fin,Dur,Tandas,RH_C13,SH_C13,RC_C13,SC_C13,RH_TVN,SH_TVN,RC_TVN,SC_TVN,RH_MEGA,SH_MEGA,RC_MEGA,SC_MEGA,RH_CHV,SH_CHV,RC_CHV,SC_CHV,RH_TVPAGO,SH_TVPAGO,RC_TVPAGO,SC_TVPAGO,RH_ENC,SH_ENC,RC_ENC,SC_ENC,PosH_C13,PosC_C13,Comentario,Region,Zona,Fecha
58,2015.0,318,3,18.0,Panguipulli,15-8-2015,15,8,2015,6,Estreno,Prime,22:21,23:37,1:16:00,3,12.3,19.2,5.0,15.6,5.7,8.9,1.8,5.6,14.3,22.4,5.6,17.7,8.3,13.1,3.0,9.3,28.3,44.5,14.6,45.8,63.7,100,31.9,100,2,2,,Los Ríos,Sur,2015-08-15
59,2015.0,319,3,19.0,Huilo Huilo,22-8-2015,22,8,2015,6,Estreno,Prime,22:21,23:33,1:12:00,3,7.9,12.1,4.8,14.5,5.7,8.7,2.4,7.1,14.1,21.7,4.6,13.9,22.2,34.2,9.4,28.4,23.0,35.4,10.5,31.7,65.0,100,33.2,100,3,2,,Los Ríos,Sur,2015-08-22
60,2015.0,320,3,20.0,Recoleta,29-8-2015,29,8,2015,6,Estreno,Prime,22:29,23:40,1:11:00,3,10.5,16.9,4.8,16.7,3.9,6.2,1.9,6.4,14.2,22.8,5.2,17.9,10.0,16.0,3.6,12.4,28.8,46.1,12.0,41.5,62.5,100,28.9,100,2,2,,Metropolitana,Centro,2015-08-29
61,2015.0,321,3,21.0,Los Andes,5-9-2015,5,9,2015,6,Estreno,Prime,22:27,23:42,1:15:00,3,9.5,15.3,4.3,15.5,4.8,7.8,1.7,6.0,18.2,29.5,7.3,26.1,9.6,15.5,3.2,11.5,24.3,39.3,10.2,36.4,61.8,100,28.1,100,3,2,,Valparaíso,Centro,2015-09-05
62,2015.0,322,3,22.0,Antofagasta,12-9-2015,12,9,2015,6,Estreno,Prime,22:31,23:52,1:21:00,4,9.5,15.4,3.8,12.4,5.5,8.9,1.7,5.4,15.9,25.6,6.5,20.9,11.1,17.9,4.2,13.5,25.7,41.4,13.2,42.6,62.0,100,30.9,100,3,3,,Antofagasta,Norte,2015-09-12
63,2015.0,323,3,23.0,Independencia,19-9-2015,19,9,2015,6,Estreno,Off Prime PM,19:52,20:59,1:07:00,3,7.4,16.5,2.6,12.9,4.9,10.9,0.9,4.4,6.4,14.3,2.0,9.9,7.7,17.1,2.6,13.3,20.9,46.4,10.2,51.6,45.0,100,19.8,100,2,1,,Metropolitana,Centro,2015-09-19
64,2015.0,324,3,24.0,Putre - Chungará,26-9-2015,26,9,2015,6,Estreno,Prime,22:32,23:55,1:23:00,4,10.8,17.3,4.5,15.4,4.8,7.6,2.7,9.4,14.7,23.5,5.0,17.2,9.9,15.9,3.2,11.0,26.4,42.2,11.1,38.5,62.6,100,28.9,100,2,2,,Arica y Parinacota,Norte,2015-09-26
65,2015.0,325,3,25.0,Ovalle,3-10-2015,3,10,2015,6,Estreno,Prime,22:26,23:36,1:10:00,3,9.1,15.0,3.4,11.5,4.8,7.9,2.0,6.8,15.5,25.7,6.2,21.2,9.6,15.9,3.3,11.3,24.9,41.3,11.9,40.5,60.4,100,29.3,100,3,2,,Coquimbo,Norte,2015-10-03
66,2015.0,326,3,26.0,La Tirana,10-10-2015,10,10,2015,6,Estreno,Prime,22:27,23:41,1:14:00,3,7.7,14.0,2.9,11.6,4.9,8.9,1.2,4.9,15.5,28.3,5.0,19.8,8.4,15.4,3.4,13.7,22.9,41.8,11.2,44.7,54.8,100,25.1,100,3,3,,Tarapacá,Norte,2015-10-10
67,2015.0,327,3,27.0,Milán 1,10-10-2015,10,10,2015,6,Estreno,Prime 2da,23:41,0:46,1:05:00,3,8.2,15.8,3.1,13.3,3.6,6.9,0.8,3.6,12.7,24.5,4.1,17.7,10.0,19.3,4.0,17.3,21.2,41.1,9.9,42.3,51.6,100,23.4,100,3,3,No considerar para RR,Internacional,Otro,2015-10-10
68,2015.0,329,3,29.0,Milán 2,17-10-2015,17,10,2015,6,Estreno,Prime 2da,0:01,1:16,1:15:00,4,8.7,16.3,3.7,15.0,3.8,7.2,1.6,6.4,14.1,26.6,3.5,14.1,8.7,16.4,3.6,14.7,21.3,40.0,10.8,43.2,53.2,100,24.9,100,2,1,No considerar para RR,Internacional,Otro,2015-10-17
